"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1058,2021,70,2021-06-27,13,2,3,1985-01-07,"hamilton","British",4974668,70065.7464788732,71,67058,21429.5,42859,2,"1:04.672","1:04.512","1:04.067",19,231.811,36,64672,64512,64067
1,1059,2021,34,2021-06-20,13,2,3,1985-01-07,"hamilton","British",5248674,99031.5849056604,44,97410,30263,30263,1,"1:31.237","1:30.788","1:30.248",18,215.903,36,91237,90788,90248
1,1060,2021,70,2021-07-04,13,2,3,1985-01-07,"hamilton","British",5080995,71563.3098591549,55,68126,21213,42426,2,"1:04.506","1:04.258","1:04.014",12,228.177,36,64506,64258,64014
1,1061,2021,9,2021-07-18,14,2,4,1985-01-07,"hamilton","British",7103284,136601.615384615,45,89699,1044321,2088642,2,"1:26.786","1:26.023","1:26.134",25,236.43,36,86786,86023,86134
1,1062,2021,11,2021-08-01,13,1,4,1985-01-07,"hamilton","British",7485935,106941.928571429,49,78715,378428.5,1513714,4,"1:16.424","1:16.553","1:15.419",18,200.363,36,76424,76553,75419
1,1064,2021,39,2021-09-05,13,2,4,1985-01-07,"hamilton","British",5426327,75365.6527777778,72,71097,19280,57840,3,"1:10.114","1:09.726","1:08.923",19,215.654,36,70114,69726,68923
1,1065,2021,14,2021-09-12,13,2,4,1985-01-07,"hamilton","British",2192235,87689.4,3,85870,25619,25619,1,"1:20.543","1:19.936","1:19.651",0,242.864,36,80543,79936,79651
1,1066,2021,71,2021-09-26,12,1,5,1985-01-07,"hamilton","British",5441001,102660.396226415,43,97575,29961.5,59923,2,"1:45.992","1:45.129","1:44.050",25,215.76,36,105992,105129,104050
1,1067,2021,5,2021-10-10,12,2,5,1985-01-07,"hamilton","British",5505915,94929.5689655172,52,92763,22684,22684,1,"1:24.585","1:23.082","1:22.868",10,207.16,36,84585,83082,82868
1,1069,2021,69,2021-10-24,19,2,5,1985-01-07,"hamilton","British",5677885,101390.803571429,41,98485,24078.5,48157,2,"1:34.579","1:33.797","1:33.119",19,201.521,36,94579,93797,93119
1,1070,2021,32,2021-11-07,19,2,5,1985-01-07,"hamilton","British",5935641,83600.5774647887,66,79820,22373,22373,1,"1:17.207","1:16.474","1:16.020",18,194.116,36,77207,76474,76020
